,imagename,red,green,blue,aro,val,exp
0,366028,116,118,104,0.577804,0.338713,3
1,20630,119,106,198,0.806934,-0.483164,6
2,237754,249,248,200,-0.0345692,-0.00216057,0
3,25957,170,156,147,0.769841,-0.626984,5
4,414507,250,250,250,0.714286,0.238095,3
5,41419,77,111,95,0.261905,-0.547619,6
6,168791,230,213,195,-0.329075,0.338753,1
7,85453,80,61,55,0.418392,-0.828157,5
8,21885,74,57,41,0.856913,-0.149528,4
9,104367,41,28,12,0.015873,0.484127,1
10,220478,187,171,156,0.714286,-0.650794,5
11,413107,60,41,35,0.45623,-0.71286,6
12,337419,222,217,221,-0.0714286,-0.0873016,0
13,17574,4,73,164,0.367789,-0.348432,7
14,187828,165,187,185,0.784476,-0.461051,6
15,157894,247,247,247,0.761905,-0.0793651,4
16,40365,69,16,0,0.388889,-0.793651,5
17,73192,170,183,165,-0.0153116,0.0038279,0
18,191559,255,254,255,0.47619,-0.738095,5
19,308147,249,249,249,0.777017,-0.142572,4
20,86605,15,12,5,0.65331,-0.454897,5
21,280934,249,249,249,-0.00431332,0.00862664,0
22,239497,17,12,8,0.428571,0.206349,7
23,319047,9,9,9,-0.135501,-0.493612,2
24,358381,141,148,132,0.785714,-0.119048,4
25,96950,54,54,54,-0.224148,-0.891612,2
26,349218,107,72,50,-0.0280875,-0.0172846,0
27,154113,220,220,220,0.460317,-0.65873,5
28,3633,76,56,57,0.547619,-0.428571,5
29,292519,151,132,118,0.648471,-0.643631,7
30,296319,105,100,106,-0.015873,0.111111,0
31,370274,254,254,252,0.120773,0.780711,1
32,124613,39,39,39,0.759775,0.36295,3
33,330494,27,24,19,-0.150019,-0.324235,2
34,93903,118,106,90,0.380952,0.761905,3
35,129372,59,31,27,-0.0634921,0.0555556,0
36,300955,53,82,90,0.634921,-0.65873,7
37,390850,106,94,46,0.539683,-0.222222,6
38,221981,2,2,2,0.876669,-0.164375,4
39,81765,48,39,34,-0.0634921,0.65873,1
40,5848,146,134,96,0.619048,-0.531746,7
41,9116,38,27,33,0.5,-0.619048,5
42,205232,39,41,30,0.469925,-0.642231,5
43,108594,25,10,3,0.110619,0.453013,1
44,30129,0,0,0,-0.325397,-0.134921,2
45,432,248,244,241,0.455552,-0.445485,7
46,244219,103,79,113,0.450518,-0.392631,7
47,112654,194,169,115,0.222222,-0.579365,6
48,204855,9,10,15,-0.190476,-0.968254,2
49,110294,228,227,222,0.641026,-0.633981,7
50,252023,53,60,66,0.119048,0.865079,1
51,220463,139,149,62,0.421022,-0.638792,6
52,282615,169,192,224,0.47473,-0.606193,5
53,359977,16,16,16,0.452381,-0.730159,5
54,70562,19,18,16,-0.226507,-0.769069,2
55,244977,57,55,68,-0.288902,-0.777047,2
56,138237,0,11,17,0.404762,-0.325397,6
57,167398,247,245,248,0.604917,0.566202,3
58,213418,52,21,16,0.861401,0.396825,3
59,323970,84,72,72,0.382307,-0.135501,5
60,318433,113,105,82,0.648471,-0.643631,7
61,82764,88,97,94,0.52164,-0.431257,7
62,133310,0,0,0,0.614606,0.198843,3
63,298514,152,162,198,-0.314557,0.706543,1
64,388568,152,109,119,0.388889,-0.888889,5
65,357915,151,125,100,0.79849,-0.125823,4
66,247052,45,74,78,0.742731,-0.13169,4
67,236545,31,14,0,-0.194099,-0.577985,2
68,229604,160,149,147,0.0992063,0.00431332,0
69,127511,243,236,230,0.972706,-0.0338753,4
70,98709,63,55,52,0.465153,-0.717439,6
71,156243,4,37,18,0.64807,-0.655114,7
72,392541,76,57,61,0.412698,-0.880952,5
73,364082,22,10,10,0.648471,-0.638792,7
74,46144,179,135,150,-0.229978,-0.642587,2
75,317580,5,5,5,0.809524,-0.0634921,4
76,235441,243,181,132,0.871688,-0.209205,4
77,115440,47,28,22,0.444444,-0.603175,5
78,68496,68,71,102,0.65873,-0.619048,7
79,348196,27,27,15,0.972706,-0.198413,4
80,33130,74,58,58,0.777778,-0.134921,4
81,134080,152,158,144,0.348432,0.0629113,3
82,154784,21,17,16,-0.105664,0.711468,1
83,134887,163,129,102,0.670618,-0.582242,7
84,357953,5,10,13,0.0948167,0.458281,1
85,327892,148,108,73,0.222609,0.822687,1
86,410814,232,230,244,0.069735,0.134489,0
87,191164,37,37,39,-0.0215666,0.00862664,0
88,49547,47,34,17,0.36295,-0.295199,7
89,135311,13,26,43,-0.107181,-0.796203,2
90,370133,127,146,152,-0.337126,0.821745,1
91,364199,31,33,22,-0.0862664,0.0,0
92,202415,60,54,56,0.459737,-0.430701,7
93,44682,113,114,80,0.412698,-0.730159,5
94,319671,40,10,12,0.07259,0.604917,1
95,245642,118,85,68,0.663671,-0.118789,4
96,41637,141,178,205,0.839572,0.267727,3
97,361081,88,63,43,0.674603,0.134921,3
98,241448,53,30,22,0.563492,-0.301587,6
99,66930,163,150,106,0.68254,0.18254,3
100,112085,53,41,41,0.647539,-0.527994,7
101,330615,214,199,166,0.453013,-0.726928,6
102,117262,101,63,60,0.130662,0.875919,1
103,189365,0,0,0,0.384534,-0.732195,6
104,363617,0,0,0,0.00793651,-0.031746,0
105,275372,224,220,217,-0.202879,-0.738784,2
106,244502,48,16,37,0.489886,-0.742731,5
107,214051,25,25,25,0.0394197,0.0,0
108,332231,99,166,183,-0.321543,-0.685194,2
109,258562,227,238,242,0.801587,-0.198413,4
110,28041,32,32,32,0.79849,-0.0774293,4
111,155088,187,189,186,0.682346,-0.551684,7
112,80109,119,18,8,0.728291,0.119048,3
113,318688,9,9,11,0.823179,-0.306801,4
